DATE,IPG2211A2N
1/1/1985,72.5052
2/1/1985,70.672
3/1/1985,62.4502
4/1/1985,57.4714
5/1/1985,55.3151
6/1/1985,58.0904
7/1/1985,62.6202
8/1/1985,63.2485
9/1/1985,60.5846
10/1/1985,56.2829
11/1/1985,58.0005
12/1/1985,68.7145
1/1/1986,73.3057
2/1/1986,67.9869
3/1/1986,62.2223
4/1/1986,57.0329
5/1/1986,55.813
6/1/1986,59.7651
7/1/1986,65.712
8/1/1986,64.8389
9/1/1986,61.1965
10/1/1986,57.1296
11/1/1986,59.9189
12/1/1986,70.9403
1/1/1987,76.387
2/1/1987,70.8501
3/1/1987,64.987
4/1/1987,60.2651
5/1/1987,58.3808
6/1/1987,62.5822
7/1/1987,68.2534
8/1/1987,66.5541
9/1/1987,62.8951
10/1/1987,58.7832
11/1/1987,61.578
12/1/1987,72.9732
1/1/1988,76.433
2/1/1988,70.236
3/1/1988,64.8052
4/1/1988,60.0271
5/1/1988,58.0831
6/1/1988,62.2957
7/1/1988,67.5386
8/1/1988,66.6215
9/1/1988,62.7401
10/1/1988,58.6896
11/1/1988,61.2514
12/1/1988,72.3046
1/1/1989,77.944
2/1/1989,71.577
3/1/1989,65.5341
4/1/1989,60.5101
5/1/1989,58.6551
6/1/1989,63.3291
7/1/1989,69.327
8/1/1989,68.0262
9/1/1989,64.1781
10/1/1989,60.0052
11/1/1989,62.8361
12/1/1989,74.2382
1/1/1990,79.2661
2/1/1990,72.7511
3/1/1990,66.8481
4/1/1990,61.6421
5/1/1990,59.8021
6/1/1990,64.3991
7/1/1990,70.3771
8/1/1990,68.9251
9/1/1990,65.1561
10/1/1990,60.9741
11/1/1990,63.8181
12/1/1990,75.3361
1/1/1991,79.8091
2/1/1991,73.2331
3/1/1991,67.2651
4/1/1991,62.0571
5/1/1991,60.1921
6/1/1991,64.8531
7/1/1991,70.8521
8/1/1991,69.3851
9/1/1991,65.5621
10/1/1991,61.3611
11/1/1991,64.2211
12/1/1991,75.7611
1/1/1992,80.2111
2/1/1992,73.6181
3/1/1992,67.6481
4/1/1992,62.4391
5/1/1992,60.5611
6/1/1992,65.2411
7/1/1992,71.2461
8/1/1992,69.7711
9/1/1992,65.9321
10/1/1992,61.7191
11/1/1992,64.5911
12/1/1992,76.1451
1/1/1993,80.5911
2/1/1993,73.9811
3/1/1993,68.0011
4/1/1993,62.7921
5/1/1993,60.9011
