OrderID,OrderDate,CustomerID,Product,Category,Region,Quantity,UnitPrice,Discount
1001,2024-01-05,C001,Laptop Pro,Electronics,North,2,1200,0.05
1002,2024-01-06,C002,Office Chair,Furniture,South,1,250,0.00
1003,2024-01-07,C001,Wireless Mouse,Electronics,North,5,25,0.10
1004,2024-01-08,C003,Desk Lamp,Furniture,East,3,45,0.00
1005,2024-01-09,C004,Monitor 27",Electronics,West,1,350,0.15
1006,2024-01-10,C002,Notebook Pack,Stationery,South,10,8,0.00
1007,2024-01-11,C005,Keyboard,Electronics,North,2,75,0.05
1008,2024-01-12,C003,Standing Desk,Furniture,East,1,450,0.10
1009,2024-01-13,C001,USB Hub,Electronics,North,4,30,0.00
1010,2024-01-14,C006,Whiteboard,Furniture,West,2,120,0.00
